,citations.OutFilm,citations.OutFilm_Year,citationsIndex.OutIndex,citations.InFilm,citations.InFilm_Year,citationsIndex.InIndex
1319,American Grindhouse 2010,2010,1,Bob & Carol & Ted & Alice 1969,1969,1721
1320,American Grindhouse 2010,2010,1,Career Bed 1969,1969,1722
1321,American Grindhouse 2010,2010,1,Easy Rider 1969,1969,1723
1322,American Grindhouse 2010,2010,1,Hell's Belles 1969,1969,1724
1323,American Grindhouse 2010,2010,1,Midnight Cowboy 1969,1969,1719
1324,American Grindhouse 2010,2010,1,Satan's Sadists 1969,1969,1725
1325,American Grindhouse 2010,2010,1,The Babysitter 1969,1969,1726
1326,American Grindhouse 2010,2010,1,The Ultimate Degenerate 1969,1969,1727
1327,American Grindhouse 2010,2010,1,The Undefeated 1969,1969,1728
1361,American Grindhouse 2010,2010,1,Beyond the Valley of the Dolls 1970,1970,1742
1362,American Grindhouse 2010,2010,1,Cotton Comes to Harlem 1970,1970,1743
1363,American Grindhouse 2010,2010,1,Horror of the Blood Monsters 1970,1970,1744
1364,American Grindhouse 2010,2010,1,I Drink Your Blood 1970,1970,1745
1365,American Grindhouse 2010,2010,1,The Amazing Transplant 1970,1970,1746
1366,American Grindhouse 2010,2010,1,The Curious Female 1970,1970,1747
1367,American Grindhouse 2010,2010,1,The Wizard of Gore 1970,1970,1748
1368,American Grindhouse 2010,2010,1,Tropic of Cancer 1970,1970,1749
1388,American Grindhouse 2010,2010,1,City of Sin 1971,1971,1761
1389,American Grindhouse 2010,2010,1,Dracula vs. Frankenstein 1971,1971,1762
1390,American Grindhouse 2010,2010,1,Shaft 1971,1971,1763
1391,American Grindhouse 2010,2010,1,Sweet Sweetback's Baadasssss Song 1971,1971,1764
1392,American Grindhouse 2010,2010,1,The Big Doll House 1971,1971,1765
1393,American Grindhouse 2010,2010,1,The Corpse Grinders 1971,1971,1766
1394,American Grindhouse 2010,2010,1,The Incredible 2-Headed Transplant 1971,1971,1767
1395,American Grindhouse 2010,2010,1,The Tormentors 1971,1971,1768
1396,American Grindhouse 2010,2010,1,Women in Cages 1971,1971,1769
1447,American Grindhouse 2010,2010,1,Blacula 1972,1972,1793
1448,American Grindhouse 2010,2010,1,Bone 1972,1972,1794
1449,American Grindhouse 2010,2010,1,Deep Throat 1972,1972,1792
1450,American Grindhouse 2010,2010,1,Night of the Lepus 1972,1972,1795
1451,American Grindhouse 2010,2010,1,Poor Albert and Little Annie 1972,1972,1796
1452,American Grindhouse 2010,2010,1,Prison Girls 1972,1972,1797
1453,American Grindhouse 2010,2010,1,Slaughter 1972,1972,1798
1454,American Grindhouse 2010,2010,1,Super Fly 1972,1972,1799
1455,American Grindhouse 2010,2010,1,The Big Bird Cage 1972,1972,1800
1456,American Grindhouse 2010,2010,1,The Last House on the Left 1972,1972,1801
1457,American Grindhouse 2010,2010,1,The Thing with Two Heads 1972,1972,1802
1524,American Grindhouse 2010,2010,1,Black Caesar 1973,1973,1824
1525,American Grindhouse 2010,2010,1,Coffy 1973,1973,1825
1526,American Grindhouse 2010,2010,1,Hell Up in Harlem 1973,1973,1826
1527,American Grindhouse 2010,2010,1,Schlock 1973,1973,1827
1528,American Grindhouse 2010,2010,1,The Mack 1973,1973,1828
1581,American Grindhouse 2010,2010,1,Black Samson 1974,1974,1857
1582,American Grindhouse 2010,2010,1,Foxy Brown 1974,1974,1858
1583,American Grindhouse 2010,2010,1,Girls for Rent 1974,1974,1859
1584,American Grindhouse 2010,2010,1,Savage Sisters 1974,1974,1860
1585,American Grindhouse 2010,2010,1,The Centerfold Girls 1974,1974,1861
1586,American Grindhouse 2010,2010,1,The Swinging Cheerleaders 1974,1974,1862
1587,American Grindhouse 2010,2010,1,The Texas Chain Saw Massacre 1974,1974,1863
1588,American Grindhouse 2010,2010,1,Three the Hard Way 1974,1974,1864
1589,American Grindhouse 2010,2010,1,Truck Turner 1974,1974,1865
1643,American Grindhouse 2010,2010,1,Boss Nigger 1975,1975,1894
1644,American Grindhouse 2010,2010,1,Bucktown 1975,1975,1895
1645,American Grindhouse 2010,2010,1,Death Race 2000 1975,1975,1896
1646,American Grindhouse 2010,2010,1,Ilsa: She Wolf of the SS 1975,1975,1897
1647,American Grindhouse 2010,2010,1,Jaws 1975,1975,1893
1648,American Grindhouse 2010,2010,1,Johnny Firecloud 1975,1975,1898
1649,American Grindhouse 2010,2010,1,Race with the Devil 1975,1975,1899
1650,American Grindhouse 2010,2010,1,Sometime Sweet Susan 1975,1975,1900
1651,American Grindhouse 2010,2010,1,The Jezebels 1975,1975,1901
1652,American Grindhouse 2010,2010,1,Wam Bam Thank You Spaceman 1975,1975,1902
1653,American Grindhouse 2010,2010,1,Welcome Home Brother Charles 1975,1975,1903
1714,American Grindhouse 2010,2010,1,Adis Amigo 1976,1976,1921
1715,American Grindhouse 2010,2010,1,Hard Candy 1976,1976,1922
1716,American Grindhouse 2010,2010,1,Hollywood Boulevard 1976,1976,1923
1717,American Grindhouse 2010,2010,1,J.D.'s Revenge 1976,1976,1924
1718,American Grindhouse 2010,2010,1,Taxi Driver 1976,1976,1920
